date,id_reg,desc_reg,load_mwmed
2000-03-20 00:00:00,SE,SUDESTE,25821.79583333
2000-03-20 00:00:00,NE,NORDESTE,6095.43333333
2000-03-20 00:00:00,N,NORTE,2426.9625
2000-03-21 00:00:00,N,NORTE,2452.73333333
2000-03-21 00:00:00,NE,NORDESTE,6106.95833333
2000-03-21 00:00:00,S,SUL,7358.02083333
2000-03-21 00:00:00,SE,SUDESTE,26486.72916667
2000-03-22 00:00:00,N,NORTE,2458.4875
2000-03-22 00:00:00,NE,NORDESTE,6188.1875
2000-03-22 00:00:00,S,SUL,7396.52083333
2000-03-22 00:00:00,SE,SUDESTE,26876.83333333
2000-03-23 00:00:00,N,NORTE,2450.17083333
2000-03-23 00:00:00,NE,NORDESTE,6109.34166667
2000-03-23 00:00:00,S,SUL,7490.64583333
2000-03-23 00:00:00,SE,SUDESTE,26948.5875
2000-03-24 00:00:00,SE,SUDESTE,27263.34166667
2000-03-24 00:00:00,S,SUL,7372.3375
2000-03-24 00:00:00,N,NORTE,2467.14583333
2000-03-24 00:00:00,NE,NORDESTE,6209.54166667
2000-03-25 00:00:00,N,NORTE,2419.56666667
2000-03-25 00:00:00,NE,NORDESTE,5804.75
2000-03-25 00:00:00,S,SUL,6409.21666667
2000-03-25 00:00:00,SE,SUDESTE,24957.34166667
2000-03-26 00:00:00,N,NORTE,2321.24583333
2000-03-26 00:00:00,NE,NORDESTE,5394.2875
2000-03-26 00:00:00,S,SUL,5376.0375
2000-03-26 00:00:00,SE,SUDESTE,22276.76666667
2000-03-27 00:00:00,N,NORTE,2464.95
2000-03-27 00:00:00,NE,NORDESTE,6087.30833333
2000-03-27 00:00:00,S,SUL,7080.49166667
2000-03-27 00:00:00,SE,SUDESTE,26927.0875
2000-03-28 00:00:00,SE,SUDESTE,27614.0
2000-03-28 00:00:00,S,SUL,7043.05833333
2000-03-28 00:00:00,N,NORTE,2444.37083333
2000-03-28 00:00:00,NE,NORDESTE,6145.86666667
2000-03-29 00:00:00,N,NORTE,2436.8
2000-03-29 00:00:00,NE,NORDESTE,6125.64583333
2000-03-29 00:00:00,S,SUL,6950.3375
2000-03-29 00:00:00,SE,SUDESTE,27257.64583333
2000-03-30 00:00:00,N,NORTE,2445.175
2000-03-30 00:00:00,NE,NORDESTE,6039.85833333
2000-03-30 00:00:00,S,SUL,7101.57916667
2000-03-30 00:00:00,SE,SUDESTE,26955.45833333
2000-03-31 00:00:00,N,NORTE,2433.06666667
2000-03-31 00:00:00,NE,NORDESTE,5983.79166667
2000-03-31 00:00:00,S,SUL,7143.63333333
2000-03-31 00:00:00,SE,SUDESTE,27245.69583333
2000-04-01 00:00:00,SE,SUDESTE,24765.47083333
2000-04-01 00:00:00,S,SUL,6325.97083333
2000-04-01 00:00:00,NE,NORDESTE,5642.79166667
2000-04-01 00:00:00,N,NORTE,2369.14166667
2000-04-02 00:00:00,N,NORTE,2305.7375
2000-04-02 00:00:00,NE,NORDESTE,5162.8
2000-04-02 00:00:00,S,SUL,5212.1
2000-04-02 00:00:00,SE,SUDESTE,21926.75416667
2000-04-03 00:00:00,N,NORTE,2434.67083333
2000-04-03 00:00:00,NE,NORDESTE,5837.18333333
2000-04-03 00:00:00,S,SUL,6825.775
2000-04-03 00:00:00,SE,SUDESTE,25865.9125
2000-04-04 00:00:00,N,NORTE,2443.97916667
2000-04-04 00:00:00,NE,NORDESTE,5995.74583333
2000-04-04 00:00:00,S,SUL,7058.24583333
2000-04-04 00:00:00,SE,SUDESTE,26119.27916667
2000-04-05 00:00:00,SE,SUDESTE,26393.22083333
2000-04-05 00:00:00,S,SUL,7241.30416667
2000-04-05 00:00:00,NE,NORDESTE,6050.70833333
2000-04-05 00:00:00,N,NORTE,2465.0375
2000-04-06 00:00:00,N,NORTE,2456.61666667
2000-04-06 00:00:00,NE,NORDESTE,6106.50416667
2000-04-06 00:00:00,S,SUL,7353.9
2000-04-06 00:00:00,SE,SUDESTE,26602.0625
2000-04-07 00:00:00,N,NORTE,2443.78333333
2000-04-07 00:00:00,NE,NORDESTE,6065.72083333
2000-04-07 00:00:00,S,SUL,7464.47916667
2000-04-07 00:00:00,SE,SUDESTE,26956.08333333
2000-04-08 00:00:00,N,NORTE,2396.60833333
2000-04-08 00:00:00,NE,NORDESTE,5685.74583333
2000-04-08 00:00:00,S,SUL,6758.08333333
2000-04-08 00:00:00,SE,SUDESTE,24775.4
2000-04-09 00:00:00,SE,SUDESTE,22322.10833333
2000-04-09 00:00:00,S,SUL,5727.97083333
2000-04-09 00:00:00,NE,NORDESTE,5181.0625
2000-04-09 00:00:00,N,NORTE,2294.73333333
2000-04-10 00:00:00,N,NORTE,2451.9375
2000-04-10 00:00:00,NE,NORDESTE,5888.84166667
2000-04-10 00:00:00,S,SUL,7432.96666667
2000-04-10 00:00:00,SE,SUDESTE,26820.40416667
2000-04-11 00:00:00,N,NORTE,2460.89166667
2000-04-11 00:00:00,NE,NORDESTE,6042.8875
2000-04-11 00:00:00,S,SUL,7535.6375
2000-04-11 00:00:00,SE,SUDESTE,27512.63333333
2000-04-12 00:00:00,N,NORTE,2459.05416667
2000-04-12 00:00:00,NE,NORDESTE,6074.29583333
2000-04-12 00:00:00,S,SUL,7345.09166667
2000-04-12 00:00:00,SE,SUDESTE,27606.16666667
2000-04-13 00:00:00,SE,SUDESTE,27753.04583333
2000-04-13 00:00:00,S,SUL,7236.44166667
2000-04-13 00:00:00,N,NORTE,2471.62083333
2000-04-13 00:00:00,NE,NORDESTE,6032.675
2000-04-14 00:00:00,N,NORTE,2484.54583333
2000-04-14 00:00:00,NE,NORDESTE,6042.99166667
2000-04-14 00:00:00,S,SUL,7265.3875
2000-04-14 00:00:00,SE,SUDESTE,27872.56666667
2000-04-15 00:00:00,N,NORTE,2389.49166667
2000-04-15 00:00:00,NE,NORDESTE,5719.19583333
2000-04-15 00:00:00,S,SUL,6530.725
2000-04-15 00:00:00,SE,SUDESTE,25296.22916667
2000-04-16 00:00:00,N,NORTE,2332.10416667
2000-04-16 00:00:00,NE,NORDESTE,5273.7875
2000-04-16 00:00:00,S,SUL,5518.3625
2000-04-16 00:00:00,SE,SUDESTE,22205.8375
2000-04-17 00:00:00,SE,SUDESTE,26388.5975
2000-04-17 00:00:00,S,SUL,7116.06916667
2000-04-17 00:00:00,NE,NORDESTE,5913.9125
2000-04-17 00:00:00,N,NORTE,2472.69166667
2000-04-18 00:00:00,N,NORTE,2436.8625
2000-04-18 00:00:00,NE,NORDESTE,6054.025
2000-04-18 00:00:00,S,SUL,7169.69583333
2000-04-18 00:00:00,SE,SUDESTE,27175.525
2000-04-19 00:00:00,N,NORTE,2471.3625
2000-04-19 00:00:00,NE,NORDESTE,6040.55833333
2000-04-19 00:00:00,S,SUL,7086.29166667
2000-04-19 00:00:00,SE,SUDESTE,27274.2625
2000-04-20 00:00:00,N,NORTE,2442.7125
2000-04-20 00:00:00,NE,NORDESTE,5765.41666667
2000-04-20 00:00:00,S,SUL,6825.3125
2000-04-20 00:00:00,SE,SUDESTE,26322.39166667
2000-04-21 00:00:00,SE,SUDESTE,20750.40833333
2000-04-21 00:00:00,S,SUL,5016.91666667
2000-04-21 00:00:00,NE,NORDESTE,4969.49583333
2000-04-21 00:00:00,N,NORTE,2288.5125
2000-04-22 00:00:00,N,NORTE,2352.7125
2000-04-22 00:00:00,NE,NORDESTE,5388.54583333
2000-04-22 00:00:00,S,SUL,5473.55833333
2000-04-22 00:00:00,SE,SUDESTE,22211.11666667
2000-04-23 00:00:00,N,NORTE,2307.3
2000-04-23 00:00:00,NE,NORDESTE,5240.12916667
2000-04-23 00:00:00,S,SUL,4898.14166667
2000-04-23 00:00:00,SE,SUDESTE,20683.60833333
2000-04-24 00:00:00,N,NORTE,2491.0625
2000-04-24 00:00:00,NE,NORDESTE,5967.61666667
2000-04-24 00:00:00,S,SUL,6705.77916667
2000-04-24 00:00:00,SE,SUDESTE,25484.225
2000-04-25 00:00:00,S,SUL,7118.34583333
2000-04-25 00:00:00,SE,SUDESTE,26436.19583333
2000-04-25 00:00:00,N,NORTE,2462.72083333
2000-04-25 00:00:00,NE,NORDESTE,5991.15
2000-04-26 00:00:00,N,NORTE,2458.46666667
2000-04-26 00:00:00,NE,NORDESTE,5960.41666667
2000-04-26 00:00:00,S,SUL,7292.84166667
2000-04-26 00:00:00,SE,SUDESTE,26576.15
2000-04-27 00:00:00,N,NORTE,2489.0625
2000-04-27 00:00:00,NE,NORDESTE,5974.48333333
2000-04-27 00:00:00,S,SUL,7372.71833333
2000-04-27 00:00:00,SE,SUDESTE,26718.81916667
2000-04-28 00:00:00,N,NORTE,2484.17083333
2000-04-28 00:00:00,NE,NORDESTE,6035.775
2000-04-28 00:00:00,S,SUL,7426.82916667
2000-04-28 00:00:00,SE,SUDESTE,26943.85
2000-04-29 00:00:00,SE,SUDESTE,24723.9875
2000-04-29 00:00:00,S,SUL,6589.325
2000-04-29 00:00:00,N,NORTE,2389.4375
2000-04-29 00:00:00,NE,NORDESTE,5672.475
2000-04-30 00:00:00,N,NORTE,2320.075
2000-04-30 00:00:00,NE,NORDESTE,5214.10416667
2000-04-30 00:00:00,S,SUL,5445.24166667
2000-04-30 00:00:00,SE,SUDESTE,22078.47083333
2000-05-01 00:00:00,N,NORTE,2315.6
2000-05-01 00:00:00,NE,NORDESTE,4993.3875
2000-05-01 00:00:00,S,SUL,5323.6625
2000-05-01 00:00:00,SE,SUDESTE,21881.5375
2000-05-02 00:00:00,N,NORTE,2497.525
2000-05-02 00:00:00,NE,NORDESTE,5926.08333333
2000-05-02 00:00:00,S,SUL,7043.13333333
2000-05-02 00:00:00,SE,SUDESTE,26977.29166667
2000-05-03 00:00:00,SE,SUDESTE,27749.7125
2000-05-03 00:00:00,S,SUL,7266.16666667
2000-05-03 00:00:00,N,NORTE,2498.20416667
2000-05-03 00:00:00,NE,NORDESTE,6053.44583333
2000-05-04 00:00:00,N,NORTE,2506.54583333
2000-05-04 00:00:00,NE,NORDESTE,6068.04166667
2000-05-04 00:00:00,S,SUL,7332.225
2000-05-04 00:00:00,SE,SUDESTE,27879.17083333
2000-05-05 00:00:00,N,NORTE,2517.87916667
